,Value
0,0.8761069449561462
1,0.8767782227648957
2,0.8774500149102785
3,0.8781223217863822
4,0.8788216651753493
5,0.8795215655267847
6,0.8802220232842575
7,0.8809629711383986
8,0.8817045427030448
9,0.882446738503219
10,0.8832273339386101
11,0.8840086198737303
12,0.8847905969193821
13,0.8856193930034971
14,0.8864489654328305
15,0.8872793149345957
16,0.8881590748712443
17,0.8890397071121754
18,0.8899212125223007
19,0.8908578636744586
20,0.8917955006615066
21,0.8927341245210461
22,0.8937307283086291
23,0.8947284446549036
24,0.8957272748018745
25,0.8967874778794387
26,0.8978489358373636
27,0.8989116501609539
28,0.900038124972644
29,0.9011660114308526
30,0.9022953113045902
31,0.9034918278285855
32,0.9046899310302174
33,0.905889623013549
34,0.9071612713544284
35,0.9084347047797835
36,0.9097099257954383
37,0.9110643388102204
38,0.9124207683300035
39,0.9137792173570416
40,0.9152266860231253
41,0.916676447546717
42,0.9181285055598095
43,0.9196820268411985
44,0.9212381767615604
45,0.922796959768689
46,0.9244716216831836
47,0.926149322719663
48,0.9278300683934267
49,0.9296424016360145
50,0.9314582749145357
51,0.933277695143753
52,0.9352450947380996
53,0.9372166417166427
54,0.9391923448222913
55,0.9413331038749675
56,0.9434787424918213
57,0.9456292717951443
58,0.947963489903193
59,0.9503034698614069
60,0.9526492258925005
61,0.9552008229192404
62,0.9577592542006145
63,0.9603245380416435
64,0.9631242794440055
65,0.9659321832452334
66,0.9687482732420803
67,0.9718375528201009
68,0.9749366839236155
69,0.9780456979685425
70,0.9814807043645647
71,0.9849277748890477
72,0.9883869519125662
73,0.9922429053069003
74,0.996113901773738
