Start,End,Value
0.0,1.0,0.0007656187064416509
0.0,2.0,0.0007650325344379975
0.0,3.0,0.0007644468112185952
0.0,4.0,0.0007939475720346716
0.0,5.0,0.0007933157692381643
0.0,6.0,0.0007926844692138648
0.0,7.0,0.0008371338105032073
0.0,8.0,0.0008364297258585146
0.0,9.0,0.0008357262333953592
0.0,10.0,0.0008774494923456142
0.0,11.0,0.000876674003360851
0.0,12.0,0.0008758991997524775
0.0,13.0,0.0009266531298299962
0.0,14.0,0.0009257859328248229
0.0,15.0,0.0009249195473753671
0.0,16.0,0.0009780705654322756
0.0,17.0,0.0009771017442795926
0.0,18.0,0.0009761338827861193
0.0,19.0,0.0010350826234551574
0.0,20.0,0.001033994333873429
0.0,21.0,0.001032907188523269
0.0,22.0,0.0010943363630774132
0.0,23.0,0.0010931160629022176
0.0,24.0,0.0010918971234900997
0.0,25.0,0.0011563274874194316
0.0,26.0,0.0011549604500877629
0.0,27.0,0.0011535950288995196
0.0,28.0,0.0012198338843767496
0.0,29.0,0.001218307157778098
0.0,30.0,0.0012167823420085652
0.0,31.0,0.0012858872624802343
0.0,32.0,0.0012841843302453624
0.0,33.0,0.0012824836532456742
0.0,34.0,0.0013557024040587993
0.0,35.0,0.0013538019958653658
0.0,36.0,0.001351904251642499
0.0,37.0,0.0014317139626332596
0.0,38.0,0.0014295855377330288
0.0,39.0,0.0014274602770071193
0.0,40.0,0.0015163391325451366
0.0,41.0,0.0015139409798087336
0.0,42.0,0.0015115466198495685
0.0,43.0,0.0016118816803532751
0.0,44.0,0.0016091588996307786
0.0,45.0,0.0016064407182129039
0.0,46.0,0.001719826067795777
0.0,47.0,0.0017167106371565445
0.0,48.0,0.001713600850057813
0.0,49.0,0.0018408178329098392
0.0,50.0,0.0018372291676916222
0.0,51.0,0.001833647498558416
0.0,52.0,0.001974755694944226
0.0,53.0,0.0019706015608300506
0.0,54.0,0.0019664561654324075
0.0,55.0,0.002121421843813834
0.0,56.0,0.0021165973528892135
0.0,57.0,0.002111783833715803
0.0,58.0,0.00228131911006149
0.0,59.0,0.002275701703448618
0.0,60.0,0.0022700981288581563
0.0,61.0,0.002456639913374117
0.0,62.0,0.002450077570724978
0.0,63.0,0.002443532757849254
0.0,64.0,0.002652007118828253
0.0,65.0,0.002644297901764149
0.0,66.0,0.0026366110949067596
0.0,67.0,0.00287481378361283
0.0,68.0,0.0028656753185611803
0.0,69.0,0.002856565902884477
0.0,70.0,0.0031350448630506865
0.0,71.0,0.0031240727684302754
0.0,72.0,0.0031131390741727352
0.0,73.0,0.003444640419647143
0.0,74.0,0.0034312542086222418
0.0,75.0,0.0034179200177282616
1.0,2.0,0.0007656187064416509
1.0,3.0,0.0007650325344379975
1.0,4.0,0.0007945558988941787
1.0,5.0,0.0007939236120070027
1.0,6.0,0.0007932918282772612
1.0,7.0,0.0008377752268887068
1.0,8.0,0.0008370706027706084
1.0,9.0,0.0008363665712877797
1.0,10.0,0.0008781217988213261
1.0,11.0,0.0008773457156527713
1.0,12.0,0.0008765703183857453
1.0,13.0,0.0009273631363948845
1.0,14.0,0.0009264952749387458
1.0,15.0,0.0009256282256601431
1.0,16.0,0.0009788199683102526
1.0,17.0,0.000977850404841641
1.0,18.0,0.000976881801767535
1.0,19.0,0.0010358757092757277
1.0,20.0,0.0010347865858407238
1.0,21.0,0.0010336986075140044
1.0,22.0,0.0010951748494289605
1.0,23.0,0.0010939536142532695
1.0,24.0,0.00109273374088328
1.0,25.0,0.001157213471700712
1.0,26.0,0.001155845386937757
1.0,27.0,0.0011544789195565247
1.0,28.0,0.0012207685275977137
1.0,29.0,0.0012192406312130084
1.0,30.0,0.0012177146471215095
1.0,31.0,0.0012868725161514054
1.0,32.0,0.0012851682791207826
1.0,33.0,0.001283466299053317
1.0,34.0,0.0013567411504633933
1.0,35.0,0.0013548392861670775
1.0,36.0,0.0013529400878824769
1.0,37.0,0.0014328109494989906
1.0,38.0,0.0014306808937882619
1.0,39.0,0.0014285540046762616
1.0,40.0,0.0015175009596669008
1.0,41.0,0.0015151009694530948
1.0,42.0,0.001512704774922573
1.0,43.0,0.0016131167126841798
1.0,44.0,0.0016103918457525878
1.0,45.0,0.0016076715816496297
1.0,46.0,0.001721143807691422
1.0,47.0,0.001718025989992636
1.0,48.0,0.001714913820158462
1.0,49.0,0.0018422282773405071
1.0,50.0,0.001838636862467881
1.0,51.0,0.0018350524490407033
1.0,52.0,0.0019762687632783483
1.0,53.0,0.001972111446244483
1.0,54.0,0.0019679628746228015
1.0,55.0,0.0021230472885325953
1.0,56.0,0.0021182191010573254
1.0,57.0,0.00211340189373988
1.0,58.0,0.0022830670689175142
1.0,59.0,0.0022774453582177687
1.0,60.0,0.0022718374901386025
1.0,61.0,0.002458522203963674
1.0,62.0,0.0024519548332126357
1.0,63.0,0.0024454050056664186
1.0,64.0,0.002654039100811462
1.0,65.0,0.002646323976904172
1.0,66.0,0.0026386312803744166
1.0,67.0,0.002877016481249616
1.0,68.0,0.002867871014257358
1.0,69.0,0.0028587546188978317
1.0,70.0,0.003137446951126938
1.0,71.0,0.003126466449629174
1.0,72.0,0.0031155243779168434
1.0,73.0,0.0034472797214882517
1.0,74.0,0.003433883253877147
1.0,75.0,0.003420538846255065
2.0,3.0,0.0007656187064416509
2.0,4.0,0.0007951646918569663
2.0,5.0,0.0007945319205082088
2.0,6.0,0.0007938996527024077
2.0,7.0,0.000838417134730858
2.0,8.0,0.0008377119707260063
2.0,9.0,0.0008370073998105048
2.0,10.0,0.0008787946204218414
2.0,11.0,0.0008780179426142281
2.0,12.0,0.0008772419512336852
2.0,13.0,0.0009280736869705855
2.0,14.0,0.0009272051605543755
2.0,15.0,0.0009263374469379962
2.0,16.0,0.0009795699453847072
2.0,17.0,0.0009785996390314004
2.0,18.0,0.0009776302938084588
2.0,19.0,0.0010366694027628786
2.0,20.0,0.0010355794448356965
2.0,21.0,0.0010344906328941868
2.0,22.0,0.0010960139782332176
2.0,23.0,0.0010947918073406287
2.0,24.0,0.0010935709992971642
2.0,25.0,0.001158100134827869
2.0,26.0,0.0011567310018310798
2.0,27.0,0.0011553634874552604
2.0,28.0,0.0012217038869472932
2.0,29.0,0.0012201748198802378
2.0,30.0,0.0012186476665715983
2.0,31.0,0.0012878585247291885
2.0,32.0,0.0012861529819030734
2.0,33.0,0.0012844496977694128
2.0,34.0,0.0013577806927610166
2.0,35.0,0.0013558773712461444
2.0,36.0,0.0013539767177857
2.0,37.0,0.0014339087768819024
2.0,38.0,0.0014317770891111399
2.0,39.0,0.001429648570365371
2.0,40.0,0.0015186636769867956
2.0,41.0,0.0015162618478877015
2.0,42.0,0.0015138638173801647
2.0,43.0,0.0016143526913034363
2.0,44.0,0.0016116257365642844
2.0,45.0,0.001608903388180478
2.0,46.0,0.0017224625572463952
2.0,47.0,0.0017193423506590782
2.0,48.0,0.0017162277962637967
2.0,49.0,0.001843639802461212
2.0,50.0,0.0018400456358273769
2.0,51.0,0.001836458476003535
2.0,52.0,0.0019777829909334893
2.0,53.0,0.0019736224885411645
2.0,54.0,0.001969470738261804
2.0,55.0,0.002124673978675759
2.0,56.0,0.0021198420918175235
2.0,57.0,0.002115021193530167
2.0,58.0,0.0022848163670689263
2.0,59.0,0.0022791903489844923
2.0,60.0,0.0022735781841269277
2.0,61.0,0.0024604059367743084
2.0,62.0,0.0024538335340688125
2.0,63.0,0.0024472786880098346
2.0,64.0,0.002656072639710092
2.0,65.0,0.0026483516044337615
2.0,66.0,0.0026406530137189415
2.0,67.0,0.002879220866605066
2.0,68.0,0.0028700683923072756
2.0,69.0,0.0028609450119170565
2.0,70.0,0.0031398508796958704
2.0,71.0,0.0031288619648793597
2.0,72.0,0.0031179115092933884
2.0,73.0,0.003449921045576492
2.0,74.0,0.003436514313520533
2.0,75.0,0.0034231596813422377
3.0,4.0,0.0007957739512801654
3.0,5.0,0.0007951406950986293
3.0,6.0,0.000794507942845867
3.0,7.0,0.0008390595344062177
3.0,8.0,0.0008383538301009486
3.0,9.0,0.000837648719339458
3.0,10.0,0.0008794679575418515
3.0,11.0,0.0008786906846395642
3.0,12.0,0.0008779140986902913
3.0,13.0,0.0009287847819739231
3.0,14.0,0.0009279155900881458
3.0,15.0,0.0009270472116249709
3.0,16.0,0.0009803204970955917
3.0,17.0,0.0009793494472883878
3.0,18.0,0.000978379359347972
3.0,19.0,0.001037463704382208
3.0,20.0,0.001036372911323455
3.0,21.0,0.0010352832651284352
3.0,22.0,0.0010968537499824347
3.0,23.0,0.0010956306426559968
3.0,24.0,0.0010944088992229054
3.0,25.0,0.0011589874773210375
3.0,26.0,0.0011576172952872522
3.0,27.0,0.0011562487331146323
3.0,28.0,0.0012226399629741893
3.0,29.0,0.001221109724327801
3.0,30.0,0.0012195814009061604
3.0,31.0,0.0012888452887919969
3.0,32.0,0.001287138439169882
