Start,End,Value
0.0,1.0,0.006796286433076504
0.0,2.0,0.007199615663737758
0.0,3.0,0.00783047824465409
0.0,4.0,0.008417533196610255
0.0,5.0,0.009129469551907285
0.0,6.0,0.00988971998403114
0.0,7.0,0.010768463833352095
0.0,8.0,0.011757906167168998
0.0,9.0,0.012899501108368313
0.0,10.0,0.014209546965759242
0.0,11.0,0.015719841607499455
0.0,12.0,0.01745265413435189
0.0,13.0,0.019433213459945867
0.0,14.0,0.021680593353953368
0.0,15.0,0.024210202400688923
0.0,16.0,0.027028190346865443
0.0,17.0,0.030128096435902262
0.0,18.0,0.0334831858870135
0.0,19.0,0.03703815751030653
0.0,20.0,0.04069932999064393
0.0,21.0,0.044326667913326206
0.0,22.0,0.04773039692547991
0.0,23.0,0.050676403797716735
0.0,24.0,0.05290328554558769
0.0,25.0,0.054151662286251796
1.0,2.0,0.0072488811362591
1.0,3.0,0.007884060578601996
1.0,4.0,0.008475132625491407
1.0,5.0,0.009191940613190355
1.0,6.0,0.009957393280894893
1.0,7.0,0.010842150191604677
1.0,8.0,0.011838363073515363
1.0,9.0,0.012987769711454192
1.0,10.0,0.014306779940167614
1.0,11.0,0.015827409214011393
1.0,12.0,0.017572079016573174
1.0,13.0,0.019566190897690832
1.0,14.0,0.021828949144874998
1.0,15.0,0.02437586778017781
1.0,16.0,0.027213138631749834
1.0,17.0,0.03033425673339691
1.0,18.0,0.033712304363788866
1.0,19.0,0.03729160191849288
1.0,20.0,0.040977827040617025
1.0,21.0,0.04462998608224537
1.0,22.0,0.04805700610407934
1.0,23.0,0.05102317188859573
1.0,24.0,0.0532652917250928
1.0,25.0,0.05452221084814035
2.0,3.0,0.007941628499624098
2.0,4.0,0.008537016442944603
2.0,5.0,0.009259058427162535
2.0,6.0,0.010030100285650332
2.0,7.0,0.010921317524188864
2.0,8.0,0.011924804564375642
2.0,9.0,0.013082603952458315
2.0,10.0,0.014411245344696788
2.0,11.0,0.01594297796624671
2.0,12.0,0.017700387018133406
2.0,13.0,0.01970905952751323
2.0,14.0,0.021988340007976472
2.0,15.0,0.024553855762033644
2.0,16.0,0.027411843829394815
2.0,17.0,0.030555751745831482
2.0,18.0,0.03395846524189716
2.0,19.0,0.03756389815120551
2.0,20.0,0.04127703939283235
2.0,21.0,0.044955865809878794
2.0,22.0,0.04840790928453777
2.0,23.0,0.05139573345129502
2.0,24.0,0.05365422482329499
2.0,25.0,0.054920321732343215
3.0,4.0,0.008605356991275959
3.0,5.0,0.009333179068041387
3.0,6.0,0.010110393273009673
3.0,7.0,0.011008744886323179
3.0,8.0,0.012020265043820685
3.0,9.0,0.01318733285086074
3.0,10.0,0.0145266102869546
3.0,11.0,0.016070604738846934
3.0,12.0,0.017842082206678603
3.0,13.0,0.019866834546948594
3.0,14.0,0.022164361130002457
3.0,15.0,0.024750414358077257
3.0,16.0,0.027631281199651088
3.0,17.0,0.030800356736690168
3.0,18.0,0.03423030964452105
3.0,19.0,0.037864604775618566
3.0,20.0,0.04160747046608307
3.0,21.0,0.04531574663483575
3.0,22.0,0.04879542441774499
3.0,23.0,0.05180716672302739
3.0,24.0,0.05408373777658773
3.0,25.0,0.05535997004821647
4.0,5.0,0.009414191547088335
4.0,6.0,0.010198152011721837
4.0,7.0,0.0111043013636965
4.0,8.0,0.0121246015686963
4.0,9.0,0.013301799584915345
4.0,10.0,0.01465270201871241
4.0,11.0,0.01621009842263745
4.0,12.0,0.017996952406894938
4.0,13.0,0.02003927970263782
4.0,14.0,0.022356748935758994
4.0,15.0,0.024965249240165056
4.0,16.0,0.027871122155547035
4.0,17.0,0.031067705432839553
4.0,18.0,0.03452743051005151
4.0,19.0,0.03819327151164097
4.0,20.0,0.04196862547069152
4.0,21.0,0.045709089669185334
4.0,22.0,0.049218971235973887
4.0,23.0,0.05225685562088669
4.0,24.0,0.05455318742942996
4.0,25.0,0.05584049746345998
5.0,6.0,0.01029507178953959
5.0,7.0,0.011209832877617237
5.0,8.0,0.012239829669710694
5.0,9.0,0.013428215376606274
5.0,10.0,0.014791956328949305
5.0,11.0,0.01636415370007596
5.0,12.0,0.01816798933855354
5.0,13.0,0.020229726220220127
5.0,14.0,0.02256921989491811
5.0,15.0,0.025202510501493622
5.0,16.0,0.02813599984748006
5.0,17.0,0.03136296236805656
5.0,18.0,0.03485556749896928
5.0,19.0,0.03855624741009654
5.0,20.0,0.04236748105268917
5.0,21.0,0.04614349335427427
5.0,22.0,0.049686731645028966
5.0,23.0,0.052753487052778394
5.0,24.0,0.055071642419984454
5.0,25.0,0.056371186611961645
6.0,7.0,0.011326439384197418
6.0,8.0,0.012367150370608135
6.0,9.0,0.013567897859098838
6.0,10.0,0.01494582466684838
6.0,11.0,0.01653437629098693
6.0,12.0,0.018356975721444648
6.0,13.0,0.020440159125809956
6.0,14.0,0.022803988594587224
6.0,15.0,0.025464671118758254
6.0,16.0,0.02842867509850062
6.0,17.0,0.03168920500857326
6.0,18.0,0.03521814078666207
6.0,19.0,0.038957315772704296
6.0,20.0,0.04280819448812499
