Start,End,Value
0.0,1.0,0.0015227932268011557
0.0,2.0,0.0015931451360669125
0.0,3.0,0.0017073290532276478
0.0,4.0,0.0018085428665512522
0.0,5.0,0.0019304921902084313
0.0,6.0,0.0020546794600715406
0.0,7.0,0.002190762117126196
0.0,8.0,0.0023318041044211877
0.0,9.0,0.002480439993889247
0.0,10.0,0.002635154498271065
0.0,11.0,0.0027987781027214893
0.0,12.0,0.0029738445360877213
0.0,13.0,0.003164721736639676
0.0,14.0,0.0033754453968013963
0.0,15.0,0.0036098608965847425
0.0,16.0,0.0038707189268982357
0.0,17.0,0.004159934336441756
0.0,18.0,0.004478930865005295
0.0,19.0,0.00482966337085396
0.0,20.0,0.005215750312327523
0.0,21.0,0.005643639749039721
0.0,22.0,0.0061234134552280006
0.0,23.0,0.006669136456343472
0.0,24.0,0.007298714612865627
0.0,25.0,0.008033417109749407
1.0,2.0,0.0015955748666667269
1.0,3.0,0.0017099329275079413
1.0,4.0,0.001811301103603517
1.0,5.0,0.0019334364140842495
1.0,6.0,0.002057813083897723
1.0,7.0,0.002194103282744061
1.0,8.0,0.0023353603753829607
1.0,9.0,0.0024842229517740722
1.0,10.0,0.002639173413669755
1.0,11.0,0.002803046563042098
1.0,12.0,0.002978379992967853
1.0,13.0,0.0031695483033280032
1.0,14.0,0.003380593341444317
1.0,15.0,0.0036153663519779395
1.0,16.0,0.003876622220959179
1.0,17.0,0.0041662787174536605
1.0,18.0,0.004485761752619228
1.0,19.0,0.004837029166105946
1.0,20.0,0.005223704934821077
1.0,21.0,0.005652246952415066
1.0,22.0,0.006132752368997158
1.0,23.0,0.006679307660809073
1.0,24.0,0.0073098459968385715
1.0,25.0,0.008045669000007702
2.0,3.0,0.001712665613716191
2.0,4.0,0.0018141957888073506
2.0,5.0,0.001936526286756037
2.0,6.0,0.002061101726009387
2.0,7.0,0.002197609733601738
2.0,8.0,0.002339092572702772
2.0,9.0,0.002488193050068176
2.0,10.0,0.0026433911421389214
2.0,11.0,0.0028075261812544163
2.0,12.0,0.002983139815881827
2.0,13.0,0.003174613637058671
2.0,14.0,0.003385995951483139
2.0,15.0,0.003621144158585956
2.0,16.0,0.003882817547049103
2.0,17.0,0.004172936950772498
2.0,18.0,0.004492930559697961
2.0,19.0,0.004844759342347645
2.0,20.0,0.005232053067196161
2.0,21.0,0.005661279948413919
2.0,22.0,0.006142553272616106
2.0,23.0,0.006689982027991388
2.0,24.0,0.007321528042969529
2.0,25.0,0.008058526983124332
3.0,4.0,0.0018173082301226051
3.0,5.0,0.0019398485987469265
3.0,6.0,0.0020646377601059
3.0,7.0,0.0022013799613642905
3.0,8.0,0.00234310552897155
3.0,9.0,0.0024924618036928615
3.0,10.0,0.002647926154210898
3.0,11.0,0.0028123427840346152
3.0,12.0,0.0029882577020931243
3.0,13.0,0.003180060016498482
3.0,14.0,0.0033918049792395137
3.0,15.0,0.0036273566075163354
3.0,16.0,0.003889478923857267
3.0,17.0,0.004180096057552298
3.0,18.0,0.004500638648751439
3.0,19.0,0.0048530710302220285
3.0,20.0,0.005241029197683517
3.0,21.0,0.005670992462199572
3.0,22.0,0.006153091460779032
3.0,23.0,0.006701459387045297
3.0,24.0,0.007334088884810483
3.0,25.0,0.00807235222319881
4.0,5.0,0.0019433803197963506
4.0,6.0,0.002068396674405455
4.0,7.0,0.0022053878308198518
4.0,8.0,0.0023473714263838722
4.0,9.0,0.00249699962165591
4.0,10.0,0.0026527470131904023
4.0,11.0,0.0028174629827011437
4.0,12.0,0.002993698174424008
4.0,13.0,0.0031858496873552462
4.0,14.0,0.003397980156543794
4.0,15.0,0.0036339606340845994
4.0,16.0,0.0038965601747319757
4.0,17.0,0.004187706410878124
4.0,18.0,0.004508832587320622
4.0,19.0,0.004861906613124146
4.0,20.0,0.00525057110376323
4.0,21.0,0.005681317166644452
4.0,22.0,0.006164293882785113
4.0,23.0,0.006713660176939094
4.0,24.0,0.007347441450629054
4.0,25.0,0.008087048883692547
5.0,6.0,0.0020724241827765333
5.0,7.0,0.0022096820834939207
5.0,8.0,0.002351942144460717
5.0,9.0,0.0025018616904279403
5.0,10.0,0.0026579123477387416
5.0,11.0,0.002822949046321553
5.0,12.0,0.002999527396935903
5.0,13.0,0.0031920530604526757
5.0,14.0,0.0034045965825391464
5.0,15.0,0.0036410365528650964
5.0,16.0,0.003904147417989681
5.0,17.0,0.004195860563722272
5.0,18.0,0.004517612025623694
5.0,19.0,0.0048713735446011
5.0,20.0,0.0052607948289002
5.0,21.0,0.0056923796251808385
5.0,22.0,0.00617629677638957
5.0,23.0,0.006726732777034512
5.0,24.0,0.007361748127058477
5.0,25.0,0.008102795697386178
6.0,7.0,0.0022142709922454706
6.0,8.0,0.002356826488670446
6.0,9.0,0.0025070573767631524
6.0,10.0,0.0026634321088503062
6.0,11.0,0.0028288115437733858
6.0,12.0,0.0030057565996004553
6.0,13.0,0.003198682086561881
6.0,14.0,0.003411667003741281
6.0,15.0,0.0036485979955843753
6.0,16.0,0.003912255270421297
6.0,17.0,0.004204574225024491
6.0,18.0,0.004526993877210106
6.0,19.0,0.0048814900626549295
6.0,20.0,0.005271720069056141
6.0,21.0,0.005704201149586663
6.0,22.0,0.006189123265114378
6.0,23.0,0.006740702371638395
6.0,24.0,0.00737703647584825
