,Value
0,0.8761069449561462
1,0.8766103551090364
2,0.8771140545208845
3,0.8776180433578987
4,0.8781223217863822
5,0.8786467771301953
6,0.8791715457030437
7,0.8796966276920023
8,0.8802220232842575
9,0.8807776757225025
10,0.881333678924105
11,0.8818900331104892
12,0.882446738503219
13,0.8830321203692604
14,0.8836178905555415
15,0.8842040493196595
16,0.8847905969193821
17,0.8854121212284961
18,0.8860340821295767
19,0.8866564799293095
20,0.8872793149345957
21,0.8879390531423225
22,0.8885992818996377
23,0.8892600015712904
24,0.8899212125223007
25,0.8906236085049054
26,0.8913265588737967
27,0.8920300640665401
28,0.8927341245210461
29,0.8934814731078413
30,0.8942294473343371
31,0.8949780477242848
32,0.8957272748018745
33,0.8965223095229949
34,0.8973180499055656
35,0.8981144965759217
36,0.8989116501609539
37,0.8997563739969138
38,0.9006018916354223
39,0.9014482038224304
40,0.9022953113045902
41,0.9031925500286869
42,0.9040906809632583
43,0.9049897049955148
44,0.905889623013549
45,0.9068431920153454
46,0.9077977647750148
47,0.9087533423491456
48,0.9097099257954383
49,0.9107255466263585
50,0.9117423013194507
51,0.912760191140584
52,0.9137792173570416
53,0.9148646040429613
54,0.9159512799508678
55,0.9170392466120983
56,0.9181285055598095
57,0.9192934002595243
58,0.9204597729436969
59,0.9216276254875508
60,0.922796959768689
61,0.9240526715020957
62,0.9253100919667034
63,0.9265692234876973
64,0.9278300683934267
65,0.9291889867168104
66,0.930549895338927
67,0.9319127971748078
68,0.933277695143753
69,0.93475285636336
70,0.9362303492583463
71,0.9377101775142141
72,0.9391923448222913
73,0.9407974570865651
74,0.9424053125433226
75,0.9440159158807744
76,0.9456292717951443
77,0.9473793957575324
78,0.9491327587629316
79,0.9508893668060023
80,0.9526492258925005
81,0.9545622836651478
82,0.9564791831351819
83,0.958399932017288
84,0.9603245380416435
85,0.9624235797965605
86,0.9645272095590879
87,0.9666354373575224
88,0.9687482732420803
89,0.9710643105700683
90,0.9733858849700209
91,0.9757130096797066
92,0.9780456979685425
93,0.9806208234053542
94,0.9832027289660693
95,0.9857914325022764
96,0.9883869519125662
97,0.9912775089577094
98,0.9941765194936794
99,0.9970840082428759
