,Value
0,0.8761069449561462
1,0.8781223217863822
2,0.8802220232842575
3,0.882446738503219
4,0.8847905969193821
5,0.8872793149345957
6,0.8899212125223007
7,0.8927341245210461
8,0.8957272748018745
9,0.8989116501609539
10,0.9022953113045902
11,0.905889623013549
12,0.9097099257954383
13,0.9137792173570416
14,0.9181285055598095
15,0.922796959768689
16,0.9278300683934267
17,0.933277695143753
18,0.9391923448222913
19,0.9456292717951443
20,0.9526492258925005
21,0.9603245380416435
22,0.9687482732420803
23,0.9780456979685425
24,0.9883869519125662
