,Value
0,0.9074988874897775
1,0.9078446999678358
2,0.9081906442215598
3,0.908536720301164
4,0.9088829282568822
5,0.9092458379243533
6,0.9096088924987455
7,0.909972092037919
8,0.9103354365997569
9,0.9107256294076804
10,0.9111159894621167
11,0.911506516834752
12,0.9118972115973033
13,0.9123119823853129
14,0.9127269418292415
15,0.9131420900148983
16,0.9135574270281311
17,0.9140018142989736
18,0.914446417735807
19,0.9148912374437822
20,0.9153362735281014
21,0.9158111300097942
22,0.9162862328366661
23,0.9167615821365156
24,0.9172371780372074
25,0.917745634814453
26,0.9182543734471451
27,0.9187633940915262
28,0.919272696903925
29,0.9198163432817595
30,0.920360311165264
31,0.9209046007445725
32,0.9214492122099321
33,0.9220303107961128
34,0.9226117758436919
35,0.9231936075837729
36,0.9237758062476052
37,0.9243963352916396
38,0.925017281164402
39,0.9256386441458896
40,0.9262604245162872
41,0.9269231061775961
42,0.9275862619463726
43,0.9282498921618112
44,0.9289139971633489
45,0.9296222536095808
46,0.9303310500704913
47,0.931040386957818
48,0.9317502646836127
49,0.9325086880628876
50,0.933267728781426
51,0.9340273873417283
52,0.934787664246703
53,0.9356019861941435
54,0.9364170175221836
55,0.9372327588487869
56,0.9380492107924544
57,0.9389263127922417
58,0.9398042349066981
59,0.9406829779026534
60,0.9415625425476546
61,0.9425102534814249
62,0.9434589183146691
63,0.9444085380075159
64,0.9453591135210596
65,0.9463860711004292
66,0.9474141442789977
67,0.9484433342686573
68,0.9494736422826162
69,0.9505892427145474
70,0.9517061539404471
71,0.9528243775004557
72,0.9539439149365223
73,0.9551585268900048
74,0.9563746853518034
75,0.9575923922910143
76,0.9588116496792414
77,0.9601371404403587
78,0.9614644636007366
79,0.9627936216935401
80,0.9641246172554363
81,0.9655752293070894
82,0.9670280239348191
83,0.9684830044225069
84,0.9699401740589755
85,0.9715336993472029
86,0.9731298426555022
87,0.9747286082850473
88,0.9763300005440779
89,0.9780891812448679
90,0.9798515316902486
91,0.9816170575915611
92,0.9833857646704371
93,0.9853398448255202
94,0.987297807921957
95,0.989259661675518
96,0.9912254138173056
97,0.9934118157141921
98,0.9956030402812687
99,0.9977990981561713
