,Value
0,0.3780424387383038
1,0.3796219131603772
2,0.3812079866813727
3,0.38280068687255453
4,0.3844000414203805
5,0.3861621836261013
6,0.3879324037319746
7,0.38971073876819606
8,0.391497225934713
9,0.3935245279022378
10,0.39556232790907236
11,0.3976106803175323
12,0.3996696397714392
13,0.40199110837542845
14,0.40432606115720615
15,0.40667457643919724
16,0.40903673299876014
17,0.4117320051571894
18,0.41444503731471394
19,0.41717594649757433
20,0.4199248505031339
21,0.4230681230981695
22,0.42623492409976366
23,0.42942542962560853
24,0.43263981711169397
25,0.43633997168476546
26,0.44007177185152285
27,0.4438354882610916
28,0.44763139387732553
29,0.4520178989178058
30,0.45644738893819
31,0.4609202851641418
32,0.4654370129490706
33,0.4706816064774958
34,0.4759852966409396
35,0.48134874934654076
36,0.48677263800495013
37,0.49309485139386455
38,0.49949917782491465
39,0.5059866837840402
40,0.5125584496087235
41,0.5202479997595254
42,0.5280529107663756
43,0.535974913306212
44,0.5440157640200887
45,0.5534553260052757
46,0.5630586798074751
47,0.5728286674822146
48,0.5827681803993271
49,0.5944713893937399
50,0.6064096234038854
51,0.6185876022256801
52,0.6310101404384547
53,0.6456738808531101
54,0.6606783848611982
55,0.6760315713035694
56,0.6917415430431978
57,0.7103259851449887
58,0.7294097199258275
59,0.749006161464974
60,0.7691290842265482
61,0.7929786951790383
62,0.8175678490174368
63,0.8429194779263062
64,0.8690572251849925
65,0.9000907133833783
66,0.9322323879725444
67,0.9655218215931447
