Start,End,Value
0.0,1.0,0.010802011451874649
0.0,2.0,0.01136908803373618
0.0,3.0,0.01216763191243066
0.0,4.0,0.012919424882604183
0.0,5.0,0.013805025286351988
0.0,6.0,0.014746785948507552
0.0,7.0,0.015831392886872665
0.0,8.0,0.0170574731446942
0.0,9.0,0.018478569254075757
0.0,10.0,0.020111235772431537
0.0,11.0,0.021980714621955506
0.0,12.0,0.024086210520932017
0.0,13.0,0.026415569818527804
0.0,14.0,0.028934829776936784
0.0,15.0,0.031597315223410624
0.0,16.0,0.03434553523485977
0.0,17.0,0.0371186892573376
0.0,18.0,0.0398539840447479
0.0,19.0,0.042484366985194026
0.0,20.0,0.04492924860345609
0.0,21.0,0.04708215245987394
0.0,22.0,0.04879942942479056
0.0,23.0,0.04989767058599086
0.0,24.0,0.05016680155872481
0.0,25.0,0.04940321669954885
1.0,2.0,0.011493238123566063
1.0,3.0,0.012300502076727277
1.0,4.0,0.013060504602891881
1.0,5.0,0.013955775735668472
1.0,6.0,0.014907820395138327
1.0,7.0,0.016004271207737553
1.0,8.0,0.017243740224067734
1.0,9.0,0.018680354659027655
1.0,10.0,0.02033084984528667
1.0,11.0,0.022220743346048694
1.0,12.0,0.024349231195146332
1.0,13.0,0.026704027024254975
1.0,14.0,0.02925079722352173
1.0,15.0,0.031942356928754904
1.0,16.0,0.03472058741776225
1.0,17.0,0.037524024196427835
1.0,18.0,0.04028918831834945
1.0,19.0,0.0429482949591816
1.0,20.0,0.04541987460912658
1.0,21.0,0.04759628810909511
1.0,22.0,0.04933231768537551
1.0,23.0,0.05044255160610175
1.0,24.0,0.05071462148073722
1.0,25.0,0.04994269829850684
2.0,3.0,0.01244351839675617
2.0,4.0,0.013212357372345907
2.0,5.0,0.01411803770484777
2.0,6.0,0.015081151662371579
2.0,7.0,0.016190350764376596
2.0,8.0,0.017444230923959272
2.0,9.0,0.018897548686027856
2.0,10.0,0.020567233962763807
2.0,11.0,0.02247910100672265
2.0,12.0,0.024632336504128088
2.0,13.0,0.027014511234666753
2.0,14.0,0.02959089239611915
2.0,15.0,0.032313746512082825
2.0,16.0,0.0351242791216257
2.0,17.0,0.03796031109104182
2.0,18.0,0.040757625412567194
2.0,19.0,0.043447649136617895
2.0,20.0,0.045947965518119735
2.0,21.0,0.04814968389163612
2.0,22.0,0.04990589805549775
2.0,23.0,0.05102904052001539
2.0,24.0,0.051304273715303814
2.0,25.0,0.05052337548374789
3.0,4.0,0.013378837178908864
3.0,5.0,0.014295929364898614
3.0,6.0,0.015271178857424088
3.0,7.0,0.016394354212624324
3.0,8.0,0.01766403365166468
3.0,9.0,0.01913566366892628
3.0,10.0,0.02082638749874238
3.0,11.0,0.02276234466126845
3.0,12.0,0.024942711594721993
3.0,13.0,0.027354902466753265
3.0,14.0,0.029963746831047026
3.0,15.0,0.032720909754572446
3.0,16.0,0.03556685594792852
3.0,17.0,0.03843862280101219
3.0,18.0,0.041271184151816236
3.0,19.0,0.04399510301029366
3.0,20.0,0.04652692415478427
3.0,21.0,0.048756384863646224
3.0,22.0,0.050534727871441094
3.0,23.0,0.05167202227985233
3.0,24.0,0.051950723498887005
3.0,25.0,0.051159985707071615
4.0,5.0,0.014489785850550385
4.0,6.0,0.015478259977475557
4.0,7.0,0.01661666587988767
4.0,8.0,0.017903562499264763
4.0,9.0,0.019395148198738003
4.0,10.0,0.021108798679315307
4.0,11.0,0.02307100791978051
4.0,12.0,0.02528094119064115
4.0,13.0,0.02772584199241798
4.0,14.0,0.030370062958481766
4.0,15.0,0.03316461372165588
4.0,16.0,0.036049151678675305
4.0,17.0,0.038959860430221135
4.0,18.0,0.0418308320427748
4.0,19.0,0.04459168794281327
4.0,20.0,0.04715784123436771
4.0,21.0,0.04941753400488072
4.0,22.0,0.05121999180206598
4.0,23.0,0.052372708215688527
4.0,24.0,0.05265518869506298
4.0,25.0,0.05185372829505048
5.0,6.0,0.015705834150926745
5.0,7.0,0.016860977837991037
5.0,8.0,0.0181667954752925
5.0,9.0,0.01968031170075401
5.0,10.0,0.021419157687303503
5.0,11.0,0.02341021695010242
5.0,12.0,0.025652642486775255
5.0,13.0,0.028133490241242128
