Start,End,Value
0,1,0.00038091589681654714
0,2,0.0003807707998960996
0,3,0.00038062575824537566
0,4,0.00038048077184332216
0,5,0.0003985248169127944
0,6,0.00039836575266113396
0,7,0.0003982067518972039
0,8,0.0003980478145956644
0,9,0.0004271066703561882
0,10,0.00042692368006184734
0,11,0.00042674076816817333
0,12,0.0004265579346415763
0,13,0.00045244416992461115
0,14,0.0004522384720619137
0,15,0.0004520328677170765
0,16,0.00045182735684758314
0,17,0.0004829751668587047
0,18,0.0004827403445499004
0,19,0.00048250563641159697
0,20,0.0004822710423882847
0,21,0.0005140695515027822
0,22,0.0005138030017191282
0,23,0.000513536590143985
0,24,0.0005132703167056903
0,25,0.0005481458933114489
0,26,0.0005478422051392574
0,27,0.000547538685218816
0,28,0.0005472353334569087
0,29,0.0005834681000108238
0,30,0.0005831232482135388
0,31,0.0005827786002367575
0,32,0.0005824341559600143
0,33,0.0006206965318293648
0,34,0.000620305345256787
0,35,0.000619914405224872
0,36,0.0006195237115782412
0,37,0.0006594523435019123
0,38,0.0006590096661386683
0,39,0.0006585672859360149
0,40,0.0006581252026944741
0,41,0.0007004453178508385
0,42,0.0006999445511056835
0,43,0.0006994441423718203
0,44,0.0006989440913932973
0,45,0.0007443113109261632
0,46,0.0007437442383524162
0,47,0.0007431775978173866
0,48,0.0007426113889919141
0,49,0.0007921463070833696
0,50,0.0007915020425453669
0,51,0.0007908583019974291
0,52,0.0007902150850133874
0,53,0.0008449638588025291
0,54,0.0008442284257603061
0,55,0.0008434936328185486
0,56,0.0008427594794201315
0,57,0.0009037307715984272
0,58,0.0009028865476628118
0,59,0.0009020431123625686
0,60,0.0009012004649609907
0,61,0.00096914048426698
0,62,0.0009681659961593899
0,63,0.0009671924879170383
0,64,0.0009662199585546536
0,65,0.001041677901105984
0,66,0.0010405475389330089
0,67,0.001039418403356701
0,68,0.0010382904930460366
0,69,0.001121705803011011
0,70,0.001120389382182636
0,71,0.0011190745062903686
0,72,0.0011177611735210902
0,73,0.0012097213711924058
0,74,0.001208183048498876
0,75,0.0012066466819886175
0,76,0.0012051122691740814
0,77,0.0013066408590128762
0,78,0.0013048370121312468
0,79,0.0013030356555005153
0,80,0.0013012367856828346
0,81,0.0014140933979809708
0,82,0.001411968963899593
0,83,0.0014098477214179866
0,84,0.001407729665741318
0,85,0.0015346249117888628
0,86,0.0015321077951859878
0,87,0.0015295948071984793
0,88,0.0015270859410545154
0,89,0.0016717890010321777
0,90,0.0016687821392829601
0,91,0.0016657806856430035
0,92,0.0016627846303853405
0,93,0.0018301155592234121
0,94,0.0018264861591594979
0,95,0.001822863956752998
0,96,0.001819248937729853
0,97,0.002014996737277843
0,98,0.0020105619272434597
0,99,0.0020061368777906574
0,100,0.002001721567437355
1,2,0.00038091589681654714
1,3,0.0003807707998960996
1,4,0.00038062575824537566
1,5,0.00039867667919759074
1,6,0.00039851755433273974
1,7,0.0003983584929798118
1,8,0.0003981994951134574
1,9,0.00042726942407204086
1,10,0.0004270863640472264
1,11,0.0004269033824529544
1,12,0.0004267204792556219
1,13,0.0004526165787746291
1,14,0.00045241080252848826
1,15,0.00045220511983584384
1,16,0.00045199953065416294
1,17,0.00048315920988244225
1,18,0.00048292429809200255
1,19,0.00048268950051556976
1,20,0.00048245481709761293
1,21,0.0005142654433853511
1,22,0.0005139987920299569
1,23,0.0005137322789357394
1,24,0.000513465904031009
1,25,0.0005483547703605744
1,26,0.0005480509664646494
1,27,0.0005477473308845887
1,28,0.0005474438635271408
1,29,0.0005836904369770882
1,30,0.0005833454537702155
1,31,0.0005830006744615146
1,32,0.0005826560989304739
1,33,0.0006209330551009116
1,34,0.000620541719462368
1,35,0.0006201506304584345
1,36,0.0006197597879336727
1,37,0.0006597036351037109
1,38,0.0006592607890533664
1,39,0.000658818240276849
1,40,0.0006583759885746044
1,41,0.0007007122302784453
1,42,0.0007002112727105891
1,43,0.0006997106732904488
1,44,0.0006992104317619754
1,45,0.0007445949389751081
1,46,0.0007440276503120913
1,47,0.0007434607938524248
1,48,0.0007428943692668233
1,49,0.0007924481631861303
1,50,0.0007918036531440069
1,51,0.0007911596672916206
1,52,0.0007905162052026401
1,53,0.000845285841616955
1,54,0.0008445501283298453
1,55,0.0008438150553871186
1,56,0.0008430806222314374
1,57,0.0009040751481942912
1,58,0.0009032306025578173
1,59,0.0009023868458572338
1,60,0.000901543877355553
1,61,0.00096950978595657
1,62,0.0009685349265095194
1,63,0.0009675610473010957
1,64,0.0009665881473456518
1,65,0.0010420748439797286
1,66,0.001040944051069758
1,67,0.0010398144852238628
1,68,0.0010386861451105122
1,69,0.001122133241401007
1,70,0.0011208163189359301
1,71,0.0011195009419956757
1,72,0.0011181871087664347
1,73,0.0012101823488871438
1,74,0.0012086434399987544
1,75,0.001207106488039062
1,76,0.001205571490519569
1,77,0.0013071387689493142
1,78,0.0013053342346918998
1,79,0.001303532191634321
1,80,0.0013017326363374204
1,81,0.0014146322538946285
1,82,0.0014125070102741712
1,83,0.0014103849594696797
1,84,0.0014082660966844927
1,85,0.0015352096975676129
1,86,0.001532691621789645
1,87,0.0015301776762002978
1,88,0.0015276678540251693
1,89,0.0016724260547026641
1,90,0.001669418047155554
1,91,0.001666415449778525
1,92,0.0016634182528409024
1,93,0.001830812944978252
1,94,0.0018271821618913416
1,95,0.001823558579204593
1,96,0.001819942182638507
1,97,0.0020157645740483377
1,98,0.0020113280740805903
1,99,0.0020069013384138015
1,100,0.002002484345557704
2,3,0.00038091589681654714
2,4,0.0003807707998960996
2,5,0.0003988285993511887
2,6,0.00039866941385004976
2,7,0.0003985102918850358
2,8,0.0003983512334307877
2,9,0.0004274322398069953
2,10,0.00042724911002513575
2,11,0.0004270660587037054
2,12,0.0004268830858090887
2,13,0.0004527890533229443
2,14,0.0004525831986634913
2,15,0.0004523774375931842
2,16,0.0004521717700694741
2,17,0.0004833433230378075
2,18,0.0004831083217316345
2,19,0.0004828734346829909
2,20,0.00048263866183632465
2,21,0.0005144614099146863
2,22,0.0005141946569488469
2,23,0.0005139280422968702
2,24,0.0005136615658870389
2,25,0.0005485637270046074
2,26,0.0005482598073408511
2,27,0.0005479560560570978
2,28,0.0005476524730600602
2,29,0.0005839128586673101
2,30,0.0005835677440007747
2,31,0.0005832228333101088
2,32,0.0005828781264747548
2,33,0.0006211696685022644
2,34,0.0006207781837409518
2,35,0.0006203869457082321
2,36,0.000619995954248608
2,37,0.0006599550224629509
2,38,0.000659512007661226
2,39,0.0006590692902466075
2,40,0.0006586268700194654
2,41,0.0007009792444159818
2,42,0.0007004780959527092
2,43,0.0006999773057736288
2,44,0.0006994768736225937
2,45,0.0007448786751036547
2,46,0.0007443111702690248
2,47,0.0007437440978024412
2,48,0.0007431774573744929
2,49,0.000792750134314494
2,50,0.0007921053786746979
2,51,0.0007914611474243872
2,52,0.0007908174401370682
2,53,0.0008456079471264899
2,54,0.0008448719534877033
2,55,0.0008441366004373099
2,56,0.00084340188741776
2,57,0.0009044196560186621
2,58,0.0009035747885587419
2,59,0.000902730710335345
2,60,0.0009018874206112027
2,61,0.0009698792283726493
2,62,0.0009689039974446352
2,63,0.0009679297471287787
2,64,0.0009669564764390572
2,65,0.001042471938112941
2,66,0.001041340714301838
2,67,0.0010402107180223965
2,68,0.0010390819479425787
2,69,0.0011225608426711242
2,70,0.0011212434183781913
2,71,0.0011199275401990202
2,72,0.0011186132063191107
2,73,0.0012106435022425255
2,74,0.001209104006935901
2,75,0.0012075664693036823
2,76,0.0012060308868564245
2,77,0.001307636868619835
2,78,0.0013058316467247034
2,79,0.0013040289169787066
2,80,0.0013022286759413768
2,81,0.0014151713151452862
2,82,0.0014130452616772653
2,83,0.001410922402241868
2,84,0.0014088027320406054
2,85,0.0015357947061854457
2,86,0.0015332756708668802
2,87,0.0015307607673107895
2,88,0.0015282499887401902
2,89,0.0016730633511294905
2,90,0.001670054197347869
2,91,0.0016670504557979337
2,92,0.0016640521167453019
2,93,0.0018315105964796389
2,94,0.0018278784298427168
2,95,0.0018242534663497484
2,96,0.001820635691715793
2,97,0.0020165327034115175
2,98,0.0020120945128664384
2,99,0.0020076660903431127
2,100,0.002003247414343084
3,4,0.00038091589681654714
3,5,0.00039898057739563966
3,6,0.00039882133123510667
3,7,0.0003986621486349098
3,8,0.0003985030295696803
3,9,0.00042759511758468435
3,10,0.00042741191801919803
3,11,0.00042722879694403917
3,12,0.0004270457543255793
3,13,0.00045296159359459176
3,14,0.0004527556604919463
3,15,0.0004525498210141099
3,16,0.0004523440751185174
3,17,0.00048352750635152476
3,18,0.00048329241549550754
3,19,0.0004830574389405588
3,20,0.00048282257663110527
3,21,0.0005146574511192326
3,22,0.0005143905965042283
3,23,0.0005141238802557925
3,24,0.0005138573023021811
3,25,0.0005487727632738782
3,26,0.0005484687277981761
3,27,0.0005481648607666399
3,28,0.0005478611620859472
3,29,0.0005841353651137747
3,30,0.0005837901189374824
3,31,0.0005834450768147868
3,32,0.0005831002386250846
3,33,0.000621406372067768
3,34,0.0006210147381268616
3,35,0.0006206233510085668
3,36,0.0006202322105573269
3,37,0.0006602065056161218
3,38,0.0006597633219987117
3,39,0.0006593204358817308
3,40,0.0006588778470654728
3,41,0.0007012463603022056
3,42,0.0007007450208707739
3,43,0.0007002440398600624
3,44,0.000699743417013827
3,45,0.000745162519352988
3,46,0.0007445947982643705
3,47,0.000744027509708558
3,48,0.0007434606533560138
3,49,0.0007930522205122927
3,50,0.0007924072191812362
3,51,0.0007917627424394893
3,52,0.0007911187898603961
3,53,0.000845930175377888
3,54,0.0008451939012805933
3,55,0.0008444582680157952
3,56,0.0008437232750257312
3,57,0.0009047642951215458
3,58,0.000903919105715545
3,59,0.0009030747058468148
3,60,0.0009022310947778057
3,61,0.0009702488115688432
3,62,0.0009692732090183085
3,63,0.0009682985874536047
3,64,0.0009673249458883331
3,65,0.0010428691835632602
3,66,0.0010417375286868248
3,67,0.0010406071018098158
3,68,0.0010394779015996873
3,69,0.0011229886068834297
3,70,0.0011216706805714139
3,71,0.0011203543009623235
3,72,0.0011190394662409667
3,73,0.0012111048313254887
3,74,0.0012095647493771675
3,75,0.0012080266258492458
3,76,0.0012064904582513296
3,77,0.0013081351580967384
3,78,0.001306329248301858
3,79,0.001304525831605773
3,80,0.0013027249045667049
3,81,0.0014157105818111892
3,82,0.0014135837181870035
3,83,0.001411460049812563
3,84,0.00140933957188755
3,85,0.0015363799377272759
3,86,0.0015338599425024693
3,87,0.0015313440806145912
3,88,0.001528832345284076
3,89,0.0016737008904051617
3,90,0.0016706905899522434
3,91,0.001667685703793402
3,92,0.0016646862221905455
3,93,0.0018322085138288387
3,94,0.0018285749631146877
3,95,0.001824948618289328
3,96,0.0018213294650623753
3,97,0.002017301125478878
3,98,0.002012861243712254
3,99,0.002008431133689596
3,100,0.0020040107739042554
4,5,0.00039913261335300376
4,6,0.0003989733065099618
4,7,0.0003988140632514763
4,8,0.00039865488355216884
4,9,0.0004277580574287503
4,10,0.0004275747880530454
4,11,0.0004273915971975775
4,12,0.00042720848482870544
4,13,0.00045313419961461623
4,14,0.0004529281880388866
4,15,0.0004527222701236429
4,16,0.0004525164458263036
4,17,0.0004837117598503289
4,18,0.0004834765794103434
4,19,0.0004832415133149822
4,20,0.00048300656150865063
4,21,0.0005148535670274461
4,22,0.0005145866107245422
4,23,0.000514319792840933
4,24,0.0005140531133048469
4,25,0.0005489818791987293
4,26,0.0005486777278669498
4,27,0.0005483737450435238
4,28,0.0005480699306350932
4,29,0.0005843579563487791
4,30,0.0005840125786126168
4,31,0.000583667405007808
4,32,0.0005833224354137034
4,33,0.0006216431658317807
4,34,0.0006212513826544339
4,35,0.0006208598463937532
4,36,0.0006204685568941226
4,37,0.0006604580845997268
4,38,0.0006600147321023026
4,39,0.0006595716772186734
4,40,0.0006591289197490567
4,41,0.0007015135779758892
4,42,0.0007010120475035279
4,43,0.000700510875588467
4,44,0.0007000100619743645
4,45,0.0007454464717643088
4,46,0.0007448785343392978
4,47,0.0007443110296119131
4,48,0.0007437439572524925
4,49,0.000793354421823375
4,50,0.0007927091747074346
4,51,0.0007920644523807044
4,52,0.0007914202544163659
4,53,0.0008462525264179218
4,54,0.0008455159717552472
4,55,0.0008447800581692655
4,56,0.0008440447851020017
4,57,0.0009051090655529676
4,58,0.0009042635540782053
4,59,0.0009034188324415753
4,60,0.0009025748999052472
4,61,0.0009706185355987975
4,62,0.0009696425612841315
4,63,0.0009686675683291118
4,64,0.0009676935557469641
4,65,0.0010432665803883476
4,66,0.0010421344942823179
4,67,0.0010410036366436573
4,68,0.001039874006139312
4,69,0.001123416534100015
4,70,0.001122098105577616
4,71,0.001120781224347531
4,72,0.001119465888593876
4,73,0.001211566336202996
4,74,0.0012100256673894321
4,75,0.0012084869577425454
4,76,0.001206950204770993
4,77,0.0013086336374523529
4,78,0.0013068270394955915
4,79,0.0013050229355876485
4,80,0.0013032213222854336
4,81,0.001416250053970614
4,82,0.0014141223798815445
4,83,0.0014119979022598054
4,84,0.0014098766163032498
4,85,0.0015369653922780514
4,86,0.001534444436781221
4,87,0.0015319276161963728
4,88,0.0015294149237413575
4,89,0.0016743386726222182
4,90,0.0016713272250610514
4,91,0.0016683211938571382
4,92,0.0016653205692686755
4,93,0.001832906697127156
4,94,0.001829271761808358
4,95,0.001825644035124235
4,96,0.0018220235027789572
4,97,0.002018069840361958
4,98,0.0020136282667293304
4,99,0.0020091964685642998
4,100,0.0020047744243520222
5,6,0.00039913261335300376
5,7,0.0003989733065099618
5,8,0.0003988140632514763
5,9,0.00042792885779209007
5,10,0.0004277455152383926
5,11,0.0004275622512362846
5,12,0.0004273790657521114
5,13,0.0004533151324681107
5,14,0.0004531090386336103
5,15,0.00045290303849699373
5,16,0.0004526971320156624
5,17,0.0004839049020785098
5,18,0.00048366962773285994
5,19,0.0004834344677774911
5,20,0.00048319942215678676
5,21,0.000515059143929594
5,22,0.0005147920810331784
5,23,0.000514525156611327
5,24,0.0005142583705922401
5,25,0.0005492010832623481
5,26,0.00054889681048538
5,27,0.0005485927062840493
5,28,0.0005482887705649609
5,29,0.0005845912857964224
5,30,0.0005842457701536987
5,31,0.0005839004587238365
5,32,0.0005835553513861383
5,33,0.0006218913829646851
5,34,0.0006214994433514562
5,35,0.0006211077507534854
5,36,0.0006207163050150941
5,37,0.0006607218002185474
5,38,0.000660278270694025
5,39,0.0006598350389021323
5,40,0.0006593921046430072
5,41,0.000701793686724106
5,42,0.0007012919559946475
5,43,0.0007007905839656583
5,44,0.0007002895703806944
5,45,0.0007457441225648408
5,46,0.0007451759583669686
5,47,0.0007446082270394954
5,48,0.0007440409282526276
5,49,0.000793671201884326
5,50,0.0007930256971263847
5,51,0.0007923807173671977
5,52,0.0007917362621797761
5,53,0.000846590428267996
5,54,0.000845853579504949
5,55,0.0008451173720745717
5,56,0.0008443818054186663
5,57,0.0009054704683473131
5,58,0.0009046246192665967
5,59,0.0009037795603393886
5,60,0.0009029352908275637
5,61,0.0009710060957993956
5,62,0.0009700297317860092
5,63,0.0009690543495241185
5,64,0.0009680799480265546
5,65,0.0010436831483708693
5,66,0.0010425506102319326
5,67,0.001041419301050882
5,68,0.0010402892194941317
5,69,0.0011238651053165564
5,70,0.0011225461503562172
5,71,0.0011212287433060132
5,72,0.0011199128823493358
5,73,0.001212050104928891
5,74,0.0012105088209386201
5,75,0.0012089694968973061
5,76,0.001207432130312611
5,77,0.0013091561643735266
5,78,0.0013073488450566831
5,79,0.0013055440207845113
5,80,0.0013037416881125472
5,81,0.0014168155512642294
5,82,0.0014146870276119518
5,83,0.0014125617017033288
5,84,0.0014104395687342952
5,85,0.0015375790902385754
5,86,0.0015350571281444235
5,87,0.001532539302613291
5,88,0.0015300256068603206
5,89,0.0016750072226323724
5,90,0.001671994572624335
5,91,0.001668987341136259
5,92,0.0016659855184224517
5,93,0.001833638562078383
5,94,0.001830002175359051
5,95,0.0018263730001527435
5,96,0.0018227510221579231
5,97,0.0020188756394719748
5,98,0.0020144322923546006
5,99,0.002009998724608089
5,100,0.0020055749147090056
6,7,0.00039913261335300376
6,8,0.0003989733065099618
6,9,0.0004280997263546457
6,10,0.0004279163105937362
6,11,0.00042773297341578125
6,12,0.00042754971478711274
6,13,0.0004534961375666432
6,14,0.00045328996144052675
6,15,0.00045308387904970695
6,16,0.00045287789035156826
6,17,0.0004840981214268342
6,18,0.0004838627531380241
6,19,0.00048362749928517016
6,20,0.00048339235981263365
6,21,0.0005152648029169511
6,22,0.0005149976333844616
6,23,0.0005147306023818285
6,24,0.0005144637098372227
6,25,0.0005494203748523923
6,26,0.0005491159805817435
6,27,0.000548811754954043
6,28,0.0005485076978758583
6,29,0.0005848247084106438
6,30,0.0005844790548062936
6,31,0.0005841336054963456
6,32,0.0005837883603600539
6,33,0.0006221396992087009
6,34,0.0006217476030971264
6,35,0.000621355754099441
6,36,0.0006209641520599044
6,37,0.0006609856211369006
6,38,0.0006605419145145943
6,39,0.0006600985057438002
6,40,0.0006596553946245762
6,41,0.0007020739073175006
6,42,0.0007015719762509838
6,43,0.0007010704040281625
6,44,0.0007005691903924904
6,45,0.0007460418922149514
6,46,0.0007454735011536695
6,47,0.0007449055431356283
6,48,0.0007443380178309024
6,49,0.0007939881084330161
6,50,0.0007933423459301994
6,51,0.0007926971086357649
6,52,0.000792052396122553
6,53,0.0008469284650395703
6,54,0.0008461913220587189
6,55,0.0008454548206666163
